Resume,Score,Rank
74126637.pdf,0.08148343174736473,61.0
33803142.pdf,0.08147047513311716,62.0
17987433.pdf,0.08134746113162095,63.0
31536294.pdf,0.08095197802432902,64.0
17131084.pdf,0.08091590334599627,65.0
23138078.pdf,0.08089578829075741,66.0
16803215.pdf,0.080797537183498,67.0
15899269.pdf,0.0807360803514373,68.0
11130200.pdf,0.08037236781017022,69.0
26231609.pdf,0.07993159531325902,70.0
36574147.pdf,0.07984256212638766,71.0
89049979.pdf,0.07983963173240018,72.0
29775391.pdf,0.07919488114377334,73.0
33750209.pdf,0.07868520203445817,74.0
17254634.pdf,0.07856039803211878,75.0
20574232.pdf,0.07786199650964572,76.0
16924279.pdf,0.07735685241104927,77.0
10176013.pdf,0.07671553265930631,78.0
23631724.pdf,0.07669848325461975,79.0
26829350.pdf,0.0765271429378206,80.0
94047639.pdf,0.07600679461036011,81.0
39064638.pdf,0.07588699688090918,82.0
24703983.pdf,0.07570954729064089,83.0
12791244.pdf,0.07550344902720371,84.0
12860543.pdf,0.02491949736588591,85.0
16500168.pdf,0.02327998915987977,86.0
92524964.pdf,0.02157659124417663,87.0
21531811.pdf,0.01865328046246014,88.0
30864828.pdf,0.01848605711024833,89.0
17857644.pdf,0.018129533688289214,90.0
98348532.pdf,0.01717668973502733,91.0
18457785.pdf,0.016629906703823173,92.0
29564653.pdf,0.015768738342810118,93.0
17659053.pdf,0.015262406215262841,94.0
20253563.pdf,0.01521203164976948,95.0
18501746.pdf,0.0143304491548309,96.0
14449423.pdf,0.01427471090061069,97.0
91189201.pdf,0.013426916838330681,98.0
11020140.pdf,0.013353595936442161,99.0
98513424.pdf,0.013292476466918232,100.0
16474898.pdf,0.012968316626957488,101.0
90629382.pdf,0.012898514131517491,102.0
27213082.pdf,0.012877012809112128,103.0
14304010.pdf,0.01266204787655446,104.0
27903191.pdf,0.01252593785157796,105.0
85101052.pdf,0.012163478651912819,106.0
39082090.pdf,0.011956582538880283,107.0
43622023.pdf,0.011826401659620617,108.0
26503829.pdf,0.011711189609060459,109.0
23190306.pdf,0.011427593542943336,110.0
47067533.pdf,0.010729302287291938,111.0
12890045.pdf,0.010728969404833354,112.0
57364820.pdf,0.010254140491242732,113.0
28326441.pdf,0.010138694774701067,114.0
13313917.pdf,0.010095225278076318,115.0
41152404.pdf,0.010015850355863545,116.0
13701259.pdf,0.009998214772988942,117.0
27936502.pdf,0.009814375689625225,118.0
10704573.pdf,0.009334364496992565,119.0
24361598.pdf,0.009204197811877944,120.0
24574164.pdf,0.009145939430311351,121.0
16279537.pdf,0.008839700234676803,122.0
24416961.pdf,0.0088330954177423,123.0
77576845.pdf,0.00852979584330077,124.0
26341645.pdf,0.008521993255447138,125.0
18316239.pdf,0.008452129596641308,126.0
14408510.pdf,0.008444956359165357,127.0
17686472.pdf,0.008433417178263378,128.0
69532425.pdf,0.008223960488784661,129.0
27372171.pdf,0.008099046093460079,130.0
27888251.pdf,0.007683549958368917,131.0
28165687.pdf,0.007525124739556521,132.0
24230851.pdf,0.007518541424664961,133.0
36136569.pdf,0.0075092056289953356,134.0
21134923.pdf,0.007416263358912126,135.0
38535335.pdf,0.007273324025926235,136.0
20977412.pdf,0.00719507553954989,137.0
34131484.pdf,0.007143275481741928,138.0
92985983.pdf,0.0070299168786536114,139.0
30437583.pdf,0.007014727680474896,140.0
23591247.pdf,0.00688726405257493,141.0
21794875.pdf,0.006659990211162576,142.0
80162314.pdf,0.006612625420906858,143.0
26167298.pdf,0.006471222298522497,144.0
14346702.pdf,0.006438140171659814,145.0
26530575.pdf,0.006432993795741438,146.0
29093426.pdf,0.0063941725940837805,147.0
18905648.pdf,0.006289746320170362,148.0
17392859.pdf,0.006214662975051795,149.0
26234972.pdf,0.006185194596391682,150.0
31761591.pdf,0.006176286443805125,151.0
94492380.pdf,0.006058098014861743,152.0
37058472.pdf,0.005950274701997137,153.0
29399491.pdf,0.005940753630151229,154.0
16507693.pdf,0.005815119829190201,155.0
48037995.pdf,0.005790503426604407,156.0
36302399.pdf,0.005684112908714673,157.0
23918545.pdf,0.005580493650163366,158.0
16244633.pdf,0.005504727896401315,159.0
15823995.pdf,0.005432500431394485,160.0
27176039.pdf,0.005281605612050011,161.0
29051656.pdf,0.005226577189842605,162.0
73497035.pdf,0.005042608658827519,163.0
28711616.pdf,0.005022572486646674,164.0
