Resume,Score
62994611.pdf,0.3705736564718757
12011623.pdf,0.36829280859753083
21297521.pdf,0.2748953699210588
22946204.pdf,0.27454367666650736
50328713.pdf,0.2508486837554807
22983516.pdf,0.24548382623873835
18448085.pdf,0.23669446859324303
13087952.pdf,0.22915611241217654
28176889.pdf,0.1782441679469062
82246962.pdf,0.17275678491311003
99680385.pdf,0.1706599870260054
60624892.pdf,0.1655927774310313
19072267.pdf,0.165080464493922
96457008.pdf,0.1649444582328441
88651471.pdf,0.1622863579599004
57706851.pdf,0.16115858493392612
15484011.pdf,0.16044511625591854
99033098.pdf,0.15970597807026354
19156751.pdf,0.15869638367291633
25873425.pdf,0.1574565453870095
29825044.pdf,0.12224857043657283
22890839.pdf,0.10722598018119513
20390397.pdf,0.10174475106078561
11360471.pdf,0.10105104660852712
46055835.pdf,0.0987717823972235
23464505.pdf,0.0981501330407363
27529455.pdf,0.09733136641796165
35421497.pdf,0.09673081871388746
53701275.pdf,0.09577378460671852
29173771.pdf,0.09419326856725754
95382114.pdf,0.09330270474471293
90280583.pdf,0.092901221630113
28670024.pdf,0.09239641438763715
37348041.pdf,0.09206103189854872
26496059.pdf,0.0919725684049551
66906212.pdf,0.09157099268977455
19405513.pdf,0.09122255194325846
16210888.pdf,0.09068115123975554
62850928.pdf,0.08955736799911368
21611637.pdf,0.08769941147851165
11152490.pdf,0.08739664393844103
34452806.pdf,0.08739587609692448
30304575.pdf,0.08725311526314987
24727739.pdf,0.08685384422658093
29486525.pdf,0.08637973569005021
13199813.pdf,0.0856536359706394
18589927.pdf,0.08508285454001238
18488289.pdf,0.08485378464795983
34185495.pdf,0.08446155330409372
27606527.pdf,0.08442130734483728
10712803.pdf,0.08392403619755988
10268614.pdf,0.08371621675005023
53129155.pdf,0.08296829829374099
19540089.pdf,0.08279959996118742
39247950.pdf,0.08259217434136087
21338490.pdf,0.08259038182991993
22968380.pdf,0.08227061357780575
17378327.pdf,0.08219274903569021
22323967.pdf,0.08204954081910348
27084878.pdf,0.08180423921520445
74126637.pdf,0.08148343174736473
33803142.pdf,0.08147047513311716
17987433.pdf,0.08134746113162095
31536294.pdf,0.08095197802432902
17131084.pdf,0.08091590334599627
23138078.pdf,0.08089578829075741
16803215.pdf,0.080797537183498
15899269.pdf,0.0807360803514373
11130200.pdf,0.08037236781017022
26231609.pdf,0.07993159531325902
36574147.pdf,0.07984256212638766
89049979.pdf,0.07983963173240018
29775391.pdf,0.07919488114377334
33750209.pdf,0.07868520203445817
17254634.pdf,0.07856039803211878
20574232.pdf,0.07786199650964572
16924279.pdf,0.07735685241104927
10176013.pdf,0.07671553265930631
23631724.pdf,0.07669848325461975
26829350.pdf,0.0765271429378206
94047639.pdf,0.07600679461036011
39064638.pdf,0.07588699688090918
24703983.pdf,0.07570954729064089
12791244.pdf,0.07550344902720371
12860543.pdf,0.02491949736588591
16500168.pdf,0.02327998915987977
92524964.pdf,0.02157659124417663
21531811.pdf,0.01865328046246014
30864828.pdf,0.01848605711024833
17857644.pdf,0.018129533688289214
98348532.pdf,0.01717668973502733
